lam,c0
2.0,-45.3949795592
2.1,-44.3737659012
2.2,-43.4545766862
2.3,-42.622189282
2.4,-41.8643223056
2.5,-41.1709494355
2.6,-40.5337986709
2.7,-39.9459805829
2.8,-39.4017080684
2.9,-38.8960821634
3.0,-38.4249263027
3.1,-37.9846566215
3.2,-37.5721794165
3.3,-37.184809317
3.4,-36.8202034188
3.5,-36.4763078429
3.6,-36.151314057
3.7,-35.8436229293
3.8,-35.5518149585
3.9,-35.2746254697
4.0,-35.0109238337
4.1,-34.7596959652
4.2,-34.5200295081
4.3,-34.2911012395
4.4,-34.0721663105
4.5,-33.8625490182
4.6,-33.661634861
4.7,-33.4688636706
4.8,-33.2837236558
4.9,-33.1057462178
5.0,-32.9345014237
5.1,-32.7695940411
5.2,-32.610660055
5.3,-32.4573635994
5.4,-32.3093942461
5.5,-32.1664646043
5.6,-32.0283081884
5.7,-31.8946775214
5.8,-31.7653424416
5.9,-31.6400885901
6.0,-31.5187160546
6.1,-31.4010381525
6.2,-31.2868803353
6.3,-31.1760792022
6.4,-31.0684816084
6.5,-30.9639438593
6.6,-30.8623309796
6.7,-30.7635160503
6.8,-30.6673796058
6.9,-30.5738090849
7.0,-30.4826983303
7.1,-30.3939471313
7.2,-30.3074608055
7.3,-30.2231498162
7.4,-30.1409294207
7.5,-30.0607193484
7.6,-29.9824435036
7.7,-29.906029693
7.8,-29.8314093742
7.9,-29.7585174232
8.0,-29.6872919201
8.1,-29.6176739509
8.2,-29.5496074241
8.3,-29.4830389001
8.4,-29.4179174336
8.5,-29.3541944275
8.6,-29.291823496
8.7,-29.2307603381
8.8,-29.17096262
8.9,-29.1123898647
9.0,-29.0550033495
9.1,-28.9987660103
9.2,-28.9436423523
9.3,-28.8895983659
9.4,-28.8366014486
9.5,-28.7846203317
9.6,-28.7336250117
9.7,-28.6835866852
9.8,-28.6344776891
9.9,-28.5862714433
10.0,-28.5389423974
10.1,-28.4924659805
10.2,-28.4468185535
10.3,-28.4019773651
10.4,-28.3579205094
10.5,-28.3146268862
10.6,-28.2720761643
10.7,-28.2302487452
10.8,-28.1891257306
10.9,-28.1486888906
11.0,-28.1089206337
11.1,-28.069803979
11.2,-28.0313225292
11.3,-27.9934604453
11.4,-27.9562024229
11.5,-27.919533669
11.6,-27.883439881
11.7,-27.8479072258
11.8,-27.8129223205
11.9,-27.7784722139
12.0,-27.7445443691
12.1,-27.7111266465
12.2,-27.6782072882
12.3,-27.6457749028
12.4,-27.6138184507
12.5,-27.5823272309
12.6,-27.5512908675
12.7,-27.5206992977
12.8,-27.4905427592
12.9,-27.4608117796
13.0,-27.4314971651
13.1,-27.4025899903
13.2,-27.3740815884
13.3,-27.3459635416
13.4,-27.3182276723
13.5,-27.2908660341
13.6,-27.2638709041
13.7,-27.2372347743
13.8,-27.2109503448
13.9,-27.1850105159
14.0,-27.1594083816
14.1,-27.1341372226
14.2,-27.1091905002
14.3,-27.0845618503
14.4,-27.060245077
14.5,-27.0362341475
14.6,-27.0125231865
14.7,-26.9891064709
14.8,-26.9659784253
14.9,-26.9431336165
15.0,-26.9205667495
15.1,-26.8982726627
15.2,-26.876246324
15.3,-26.8544828264
15.4,-26.8329773844
15.5,-26.8117253298
15.6,-26.7907221084
15.7,-26.7699632764
15.8,-26.7494444971
15.9,-26.7291615374
16.0,-26.7091102651
16.1,-26.6892866454
16.2,-26.6696867384
16.3,-26.6503066959
16.4,-26.6311427593
16.5,-26.6121912563
16.6,-26.5934485989
16.7,-26.5749112806
16.8,-26.5565758744
16.9,-26.5384390303
17.0,-26.5204974732
17.1,-26.5027480009
17.2,-26.4851874818
17.3,-26.4678128532
17.4,-26.4506211192
17.5,-26.433609349
17.6,-26.416774675
17.7,-26.4001142912
17.8,-26.3836254515
17.9,-26.367305468
18.0,-26.3511517097
18.1,-26.3351616005
18.2,-26.3193326183
18.3,-26.3036622933
18.4,-26.2881482066
18.5,-26.272787989
18.6,-26.2575793197
18.7,-26.2425199249
18.8,-26.227607577
18.9,-26.2128400927
19.0,-26.1982153329
19.1,-26.1837312004
19.2,-26.16938564
19.3,-26.1551766365
19.4,-26.1411022146
19.5,-26.127160437
19.6,-26.1133494041
19.7,-26.099667253
19.8,-26.0861121564
19.9,-26.0726823219
20.0,-26.0593759911
20.1,-26.0461914387
20.2,-26.0331269721
20.3,-26.02018093
20.4,-26.0073516824
20.5,-25.9946376291
20.6,-25.9820371995
20.7,-25.969548852
20.8,-25.9571710728
20.9,-25.944902376
21.0,-25.9327413021
21.1,-25.9206864182
21.2,-25.9087363168
21.3,-25.8968896158
21.4,-25.8851449572
21.5,-25.8735010074
21.6,-25.8619564558
21.7,-25.8505100152
21.8,-25.8391604204
21.9,-25.8279064283
22.0,-25.8167468172
22.1,-25.8056803866
22.2,-25.7947059561
22.3,-25.7838223658
22.4,-25.7730284752
22.5,-25.7623231632
22.6,-25.7517053274
22.7,-25.741173884
22.8,-25.730727767
22.9,-25.7203659282
23.0,-25.7100873368
23.1,-25.6998909789
23.2,-25.6897758569
23.3,-25.67974099
23.4,-25.6697854127
23.5,-25.6599081757
23.6,-25.6501083444
23.7,-25.6403849996
23.8,-25.6307372366
23.9,-25.6211641651
24.0,-25.6116649088
24.1,-25.6022386052
24.2,-25.5928844056
24.3,-25.5836014742
24.4,-25.5743889885
24.5,-25.5652461386
24.6,-25.556172127
24.7,-25.5471661687
24.8,-25.5382274906
24.9,-25.5293553314
25.0,-25.5205489413
25.1,-25.511807582
25.2,-25.5031305261
25.3,-25.4945170575
25.4,-25.4859664703
25.5,-25.4774780695
25.6,-25.4690511704
25.7,-25.4606850981
25.8,-25.4523791881
25.9,-25.4441327851
26.0,-25.435945244
26.1,-25.4278159285
26.2,-25.4197442119
26.3,-25.4117294765
26.4,-25.4037711134
26.5,-25.3958685224
26.6,-25.3880211121
26.7,-25.3802282992
26.8,-25.3724895089
26.9,-25.3648041744
27.0,-25.357171737
27.1,-25.3495916458
27.2,-25.3420633575
27.3,-25.3345863364
27.4,-25.3271600543
27.5,-25.3197839903
27.6,-25.3124576306
27.7,-25.3051804684
27.8,-25.2979520041
27.9,-25.2907717447
28.0,-25.2836392038
28.1,-25.2765539017
28.2,-25.2695153653
28.3,-25.2625231277
28.4,-25.2555767282
28.5,-25.2486757123
28.6,-25.2418196317
28.7,-25.2350080439
28.8,-25.2282405122
28.9,-25.2215166057
29.0,-25.2148358992
29.1,-25.208197973
29.2,-25.2016024128
29.3,-25.1950488099
29.4,-25.1885367606
29.5,-25.1820658667
29.6,-25.1756357349
29.7,-25.169245977
29.8,-25.1628962098
29.9,-25.156586055
30.0,-25.1503151389
30.1,-25.1440830929
30.2,-25.1378895526
30.3,-25.1317341586
30.4,-25.1256165557
30.5,-25.1195363932
30.6,-25.1134933248
30.7,-25.1074870086
30.8,-25.1015171068
30.9,-25.0955832858
31.0,-25.0896852161
31.1,-25.0838225722
31.2,-25.0779950327
31.3,-25.0722022799
31.4,-25.0664440003
31.5,-25.0607198839
31.6,-25.0550296246
31.7,-25.04937292
31.8,-25.0437494711
31.9,-25.0381589829
32.0,-25.0326011636
32.1,-25.0270757251
32.2,-25.0215823826
32.3,-25.0161208547
32.4,-25.0106908634
32.5,-25.0052921341
32.6,-24.9999243952
32.7,-24.9945873785
32.8,-24.989280819
32.9,-24.9840044547
33.0,-24.9787580267
33.1,-24.9735412794
33.2,-24.9683539599
33.3,-24.9631958184
33.4,-24.9580666082
33.5,-24.9529660853
33.6,-24.9478940087
33.7,-24.9428501402
33.8,-24.9378342445
33.9,-24.932846089
34.0,-24.9278854439
34.1,-24.9229520823
34.2,-24.9180457797
34.3,-24.9131663147
34.4,-24.9083134681
34.5,-24.9034870237
34.6,-24.8986867679
34.7,-24.8939124895
34.8,-24.8891639801
34.9,-24.8844410338
35.0,-24.8797434472
35.1,-24.8750710195
35.2,-24.8704235524
35.3,-24.8658008501
35.4,-24.8612027192
35.5,-24.8566289691
35.6,-24.8520794112
35.7,-24.8475538598
35.8,-24.8430521313
35.9,-24.8385740447
36.0,-24.8341194214
36.1,-24.8296880852
36.2,-24.8252798622
36.3,-24.8208945812
36.4,-24.8165320729
36.5,-24.8121921708
36.6,-24.8078747105
36.7,-24.8035795301
36.8,-24.79930647
36.9,-24.7950553728
37.0,-24.7908260836
37.1,-24.7866184498
37.2,-24.782432321
37.3,-24.7782675492
37.4,-24.7741239885
37.5,-24.7700014956
37.6,-24.7658999292
37.7,-24.7618191502
37.8,-24.757759022
37.9,-24.7537194101
38.0,-24.7497001821
38.1,-24.7457012079
38.2,-24.7417223597
38.3,-24.7377635117
38.4,-24.7338245403
38.5,-24.7299053241
38.6,-24.7260057437
38.7,-24.722125682
38.8,-24.7182650238
38.9,-24.7144236561
39.0,-24.710601468
39.1,-24.7067983503
39.2,-24.7030141962
39.3,-24.6992489007
39.4,-24.6955023608
39.5,-24.6917744754
39.6,-24.6880651455
39.7,-24.6843742736
39.8,-24.6807017645
39.9,-24.6770475245
40.0,-24.6734114621
40.1,-24.6697934871
40.2,-24.6661935115
40.3,-24.6626114487
40.4,-24.6590472139
40.5,-24.6555007242
40.6,-24.651971898
40.7,-24.6484606554
40.8,-24.6449669182
40.9,-24.6414906096
41.0,-24.6380316544
41.1,-24.6345899788
41.2,-24.6311655104
41.3,-24.6277581784
41.4,-24.6243679132
41.5,-24.6209946466
41.6,-24.6176383115
41.7,-24.6142988425
41.8,-24.610976175
41.9,-24.6076702459
42.0,-24.6043809929
42.1,-24.6011083553
42.2,-24.597852273
42.3,-24.5946126873
42.4,-24.5913895404
42.5,-24.5881827754
42.6,-24.5849923364
42.7,-24.5818181684
42.8,-24.5786602173
42.9,-24.5755184298
43.0,-24.5723927534
43.1,-24.5692831365
43.2,-24.5661895279
43.3,-24.5631118774
43.4,-24.5600501354
43.5,-24.5570042527
43.6,-24.5539741811
43.7,-24.5509598727
43.8,-24.5479612801
43.9,-24.5449783565
44.0,-24.5420110555
44.1,-24.5390593312
44.2,-24.5361231381
44.3,-24.533202431
44.4,-24.5302971652
44.5,-24.5274072962
44.6,-24.5245327797
44.7,-24.5216735719
44.8,-24.518829629
44.9,-24.5160009077
45.0,-24.5131873646
45.1,-24.5103889565
45.2,-24.5076056406
45.3,-24.5048373739
45.4,-24.5020841137
45.5,-24.4993458172
45.6,-24.4966224419
45.7,-24.493913945
45.8,-24.4912202839
45.9,-24.4885414162
46.0,-24.485877299
46.1,-24.4832278896
46.2,-24.4805931455
46.3,-24.4779730236
46.4,-24.4753674811
46.5,-24.472776475
46.6,-24.470199962
46.7,-24.4676378989
46.8,-24.4650902423
46.9,-24.4625569486
47.0,-24.460037974
47.1,-24.4575332745
47.2,-24.455042806
47.3,-24.4525665242
47.4,-24.4501043845
47.5,-24.4476563422
47.6,-24.4452223522
47.7,-24.4428023693
47.8,-24.4403963481
47.9,-24.4380042429
48.0,-24.4356260076
48.1,-24.4332615961
48.2,-24.4309109618
48.3,-24.4285740582
48.4,-24.4262508381
48.5,-24.4239412542
48.6,-24.4216452591
48.7,-24.4193628049
48.8,-24.4170938435
48.9,-24.4148383266
49.0,-24.4125962054
49.1,-24.4103674312
49.2,-24.4081519547
49.3,-24.4059497263
49.4,-24.4037606965
49.5,-24.4015848151
49.6,-24.3994220319
49.7,-24.3972722963
49.8,-24.3951355575
49.9,-24.3930117645
50.0,-24.3909008658
50.1,-24.3888028099
50.2,-24.3867175449
50.3,-24.3846450187
50.4,-24.382585179
50.5,-24.3805379732
50.6,-24.3785033484
50.7,-24.3764812516
50.8,-24.3744716295
50.9,-24.3724744286
51.0,-24.3704895952
51.1,-24.3685170753
51.2,-24.3665568148
51.3,-24.3646087594
51.4,-24.3626728544
51.5,-24.3607490453
51.6,-24.358837277
51.7,-24.3569374945
51.8,-24.3550496425
51.9,-24.3531736657
52.0,-24.3513095084
