lam,elab,d0,d0_true
52.0,1.0,-0.18014423900497423,-0.18745
52.0,2.0,-0.46388481977771034,-0.48182
52.0,3.0,-0.7812023720986165,-0.81022
52.0,4.0,-1.1089894330885819,-1.14886
52.0,5.0,-1.4362994509912894,-1.48664
52.0,6.0,-1.7574793190502795,-1.81792
52.0,7.0,-2.069562901497183,-2.13982
52.0,8.0,-2.3710583571225596,-2.45097
52.0,9.0,-2.6613190416592736,-2.75083
52.0,10.0,-2.940194146334434,-3.03938
52.0,11.0,-3.2078255406610614,-3.31686
52.0,12.0,-3.4645257781226495,-3.58366
52.0,13.0,-3.710703201997931,-3.8403
52.0,14.0,-3.9468153219414055,-4.08729
52.0,15.0,-4.173339607625742,-4.32519
52.0,16.0,-4.390755230959872,-4.55452
52.0,17.0,-4.599531796145442,-4.77581
52.0,18.0,-4.800122577984255,-4.98955
52.0,19.0,-4.992960687564576,-5.19623
52.0,20.0,-5.178457142325774,-5.39627
52.0,21.0,-5.3570001705760815,-5.59011
52.0,22.0,-5.528955307723744,-5.77812
52.0,23.0,-5.694665989745566,-5.96068
52.0,24.0,-5.854454447335707,-6.13813
52.0,25.0,-6.0086227694956875,-6.31078
52.0,26.0,-6.157454049250817,-6.47893
52.0,27.0,-6.301213553899519,-6.64285
52.0,28.0,-6.440149882398867,-6.80281
52.0,29.0,-6.574496086244618,-6.95904
52.0,30.0,-6.704470739567653,-7.11176
52.0,31.0,-6.8302789505253445,-7.26118
52.0,32.0,-6.9521133103498505,-7.4075
52.0,33.0,-7.070154779267331,-7.5509
52.0,34.0,-7.18457351036744,-7.69154
52.0,35.0,-7.29552961367836,-7.82959
52.0,36.0,-7.403173863411906,-7.96519
52.0,37.0,-7.507648351725802,-8.09848
52.0,38.0,-7.609087092512939,-8.22959
52.0,39.0,-7.707616578745711,-8.35863
52.0,40.0,-7.803356296822103,-8.48573
52.0,41.0,-7.8964192012207555,-8.61099
52.0,42.0,-7.986912152593968,-8.7345
52.0,43.0,-8.074936322235748,-8.85636
52.0,44.0,-8.160587565654367,-8.97666
52.0,45.0,-8.243956767780839,-9.09548
52.0,46.0,-8.325130162144541,-9.2129
52.0,47.0,-8.404189626164705,-9.32898
52.0,48.0,-8.481212954520146,-9.4438
52.0,49.0,-8.556274112405163,-9.55742
52.0,50.0,-8.629443470317094,-9.66989
52.0,51.0,-8.70078802188387,-9.78128
52.0,52.0,-8.770371586107593,-9.89164
52.0,53.0,-8.838254995282881,-10.00101
52.0,54.0,-8.904496269735855,-10.10945
52.0,55.0,-8.969150780434692,-10.21699
52.0,56.0,-9.032271400427815,-10.32369
52.0,57.0,-9.09390864598557,-10.42957
52.0,58.0,-9.15411080824475,-10.53468
52.0,59.0,-9.212924076087829,-10.63904
52.0,60.0,-9.270392650925256,-10.74269
52.0,61.0,-9.326558853994118,-10.84567
52.0,62.0,-9.38146322673367,-10.948
52.0,63.0,-9.435144624752109,-11.0497
52.0,64.0,-9.48764030585619,-11.1508
52.0,65.0,-9.538986012576482,-11.25133
52.0,66.0,-9.58921604958568,-11.35131
52.0,67.0,-9.638363356375349,-11.45077
52.0,68.0,-9.686459575527005,-11.5497
52.0,69.0,-9.733535116886733,-11.64815
52.0,70.0,-9.77961921792823,-11.74613
52.0,71.0,-9.82474000056653,-11.84365
52.0,72.0,-9.868924524664159,-11.94072
52.0,73.0,-9.912198838456165,-12.03737
52.0,74.0,-9.954588026092022,-12.13361
52.0,75.0,-9.996116252498375,-12.22944
52.0,76.0,-10.036806805726451,-12.32489
52.0,77.0,-10.07668213695469,-12.41996
52.0,78.0,-10.115763898295784,-12.51467
