elab,d0_true
1.000,0.13431
2.000,0.41578
3.000,0.76934
4.000,1.16393
5.000,1.58184
6.000,2.01178
7.000,2.44610
8.000,2.87947
9.000,3.30808
10.000,3.72918
11.000,4.14077
12.000,4.54145
13.000,4.93019
14.000,5.30631
15.000,5.66936
16.000,6.01906
17.000,6.35532
18.000,6.67812
19.000,6.98754
20.000,7.28375
21.000,7.56694
22.000,7.83736
23.000,8.09529
24.000,8.34102
25.000,8.57486
26.000,8.79715
27.000,9.00820
28.000,9.20837
29.000,9.39797
30.000,9.57735
31.000,9.74684
32.000,9.90675
33.000,10.05741
34.000,10.19913
35.000,10.33222
36.000,10.45697
37.000,10.57368
38.000,10.68262
39.000,10.78406
40.000,10.87828
41.000,10.96553
42.000,11.04605
43.000,11.12008
44.000,11.18786
45.000,11.24961
46.000,11.30553
47.000,11.35585
48.000,11.40076
49.000,11.44045
50.000,11.47511
51.000,11.50492
52.000,11.53004
53.000,11.55066
54.000,11.56691
55.000,11.57897
56.000,11.58698
57.000,11.59108
58.000,11.59140
59.000,11.58809
60.000,11.58127
61.000,11.57106
62.000,11.55758
63.000,11.54094
64.000,11.52126
65.000,11.49863
66.000,11.47317
67.000,11.44497
68.000,11.41412
69.000,11.38072
70.000,11.34485
71.000,11.30660
72.000,11.26605
73.000,11.22328
74.000,11.17836
75.000,11.13137
76.000,11.08238
77.000,11.03146
78.000,10.97866
79.000,10.92407
80.000,10.86773
81.000,10.80970
82.000,10.75005
83.000,10.68882
84.000,10.62608
85.000,10.56187
86.000,10.49624
87.000,10.42924
88.000,10.36091
89.000,10.29131
90.000,10.22047
91.000,10.14843
92.000,10.07524
93.000,10.00094
94.000,9.92555
95.000,9.84913
96.000,9.77169
97.000,9.69329
98.000,9.61394
99.000,9.53369
100.000,9.45256
101.000,9.37058
102.000,9.28779
103.000,9.20420
104.000,9.11985
105.000,9.03476
106.000,8.94896
107.000,8.86248
108.000,8.77533
109.000,8.68753
110.000,8.59912
111.000,8.51011
112.000,8.42053
113.000,8.33039
114.000,8.23971
115.000,8.14851
116.000,8.05681
117.000,7.96463
118.000,7.87199
119.000,7.77890
120.000,7.68537
121.000,7.59143
122.000,7.49709
123.000,7.40236
124.000,7.30725
125.000,7.21179
126.000,7.11599
127.000,7.01985
128.000,6.92339
129.000,6.82663
130.000,6.72956
131.000,6.63222
132.000,6.53460
133.000,6.43672
134.000,6.33858
135.000,6.24021
136.000,6.14160
137.000,6.04277
138.000,5.94372
139.000,5.84447
140.000,5.74503
141.000,5.64539
142.000,5.54558
143.000,5.44559
144.000,5.34544
145.000,5.24514
146.000,5.14468
147.000,5.04409
148.000,4.94335
149.000,4.84249
150.000,4.74151
151.000,4.64040
152.000,4.53919
153.000,4.43787
154.000,4.33646
155.000,4.23494
156.000,4.13334
157.000,4.03166
158.000,3.92990
159.000,3.82806
160.000,3.72616
161.000,3.62419
162.000,3.52216
163.000,3.42007
164.000,3.31793
165.000,3.21574
166.000,3.11351
167.000,3.01123
168.000,2.90892
169.000,2.80658
170.000,2.70420
171.000,2.60180
172.000,2.49937
173.000,2.39693
174.000,2.29446
175.000,2.19198
176.000,2.08948
177.000,1.98698
178.000,1.88447
179.000,1.78195
180.000,1.67943
181.000,1.57691
182.000,1.47439
183.000,1.37188
184.000,1.26937
185.000,1.16687
186.000,1.06438
187.000,0.96190
188.000,0.85943
189.000,0.75698
190.000,0.65455
191.000,0.55214
192.000,0.44974
193.000,0.34737
194.000,0.24501
195.000,0.14269
196.000,0.04038
197.000,-0.06189
198.000,-0.16414
199.000,-0.26636
200.000,-0.36855
