elab,d0_true,d2_true,e0_true
1,147.7475,-0.00517,0.10515
2,136.46342,-0.02572,0.25296
3,128.78354,-0.06303,0.40198
4,122.92236,-0.11609,0.54247
5,118.17818,-0.1833,0.67168
6,114.19291,-0.26298,0.7893
7,110.75719,-0.35353,0.89593
8,107.73755,-0.45351,0.99246
9,105.04364,-0.56163,1.0799
10,102.61142,-0.67678,1.1592
11,100.3939,-0.79796,1.23123
12,98.35559,-0.92433,1.29679
13,96.46906,-1.05513,1.3566
14,94.71267,-1.18973,1.41126
15,93.06906,-1.32755,1.46134
16,91.52411,-1.4681,1.50731
17,90.06619,-1.61095,1.54961
18,88.68557,-1.75571,1.58862
19,87.37409,-1.90207,1.62465
20,86.1248,-2.04971,1.65801
21,84.93174,-2.1984,1.68896
22,83.78978,-2.3479,1.71773
23,82.69445,-2.49801,1.74452
24,81.64185,-2.64856,1.76953
25,80.62855,-2.79939,1.7929
26,79.65152,-2.95036,1.8148
27,78.70805,-3.10134,1.83534
28,77.79576,-3.25224,1.85466
29,76.91248,-3.40295,1.87286
30,76.05629,-3.55339,1.89003
31,75.22543,-3.70348,1.90626
32,74.41833,-3.85315,1.92163
33,73.63355,-4.00235,1.93621
34,72.86978,-4.15103,1.95007
35,72.12583,-4.29913,1.96326
36,71.40061,-4.44661,1.97585
37,70.6931,-4.59344,1.98787
38,70.00239,-4.73959,1.99937
39,69.32761,-4.88502,2.01041
40,68.66798,-5.02973,2.021
41,68.02278,-5.17367,2.03119
42,67.39131,-5.31683,2.04101
43,66.77295,-5.4592,2.05049
44,66.16712,-5.60076,2.05965
45,65.57326,-5.74151,2.06853
46,64.99086,-5.88142,2.07713
47,64.41944,-6.0205,2.08549
48,63.85856,-6.15873,2.09362
49,63.30778,-6.29612,2.10154
50,62.76672,-6.43265,2.10927
51,62.235,-6.56832,2.11682
52,61.71226,-6.70314,2.1242
53,61.19819,-6.8371,2.13144
54,60.69246,-6.97019,2.13854
55,60.19477,-7.10243,2.14551
56,59.70485,-7.23381,2.15236
57,59.22243,-7.36433,2.15911
58,58.74727,-7.49399,2.16575
59,58.27911,-7.62281,2.17231
60,57.81773,-7.75077,2.17879
61,57.36292,-7.87789,2.18519
62,56.91447,-8.00418,2.19153
63,56.47219,-8.12962,2.1978
64,56.03588,-8.25423,2.20402
65,55.60538,-8.37802,2.21019
66,55.1805,-8.50098,2.21631
67,54.76108,-8.62312,2.2224
68,54.34698,-8.74446,2.22845
69,53.93804,-8.86499,2.23447
70,53.53412,-8.98471,2.24045
71,53.13508,-9.10365,2.24642
72,52.74079,-9.22179,2.25236
73,52.35113,-9.33915,2.25829
74,51.96597,-9.45574,2.2642
75,51.58521,-9.57156,2.27011
76,51.20871,-9.68661,2.276
77,50.8364,-9.8009,2.28188
78,50.46814,-9.91445,2.28776
79,50.10386,-10.02725,2.29364
80,49.74345,-10.1393,2.29951
