lam,d0_10,d0_50,d0_100,d0_190
2.0,-2.950469713815277,-8.458039096483471,-9.552136551528708,-6.882818871321138
2.1,-2.94919916894133,-8.496196136755781,-9.793977596371784,-7.679996998705177
2.2,-2.9480981437831626,-8.52485971104546,-9.98280036363172,-8.356672203957762
2.3,-2.9471458061229447,-8.546622163629175,-10.131277161882153,-8.924576618956115
2.4,-2.94632236407902,-8.563310892839635,-10.248907283659477,-9.398231762986033
2.5,-2.945609896341586,-8.57622912521565,-10.342810217355568,-9.792215834128234
2.6,-2.944992612558871,-8.586316737313313,-10.418337629928008,-10.119843352672849
2.7,-2.944456825525964,-8.594258859751474,-10.479531827247934,-10.392669086282165
2.8,-2.9439907885196934,-8.6005600410307,-10.529464305500108,-10.620427462152795
2.9,-2.943584480119427,-8.605595455824714,-10.570484262379392,-10.811176275252956
3.0,-2.943229379476869,-8.609646646832465,-10.604400824862282,-10.971517563206834
3.1,-2.9429182532322287,-8.612926733401574,-10.632616938071745,-11.106830882214693
3.2,-2.9426449633720675,-8.615598370543234,-10.656228118673443,-11.22148921583184
3.3,-2.942404298958206,-8.617786666899377,-10.676095660362142,-11.319046312314281
3.4,-2.9421918313914435,-8.619588562508143,-10.692901212930016,-11.402393488958916
3.5,-2.9420037913296015,-8.621079696578752,-10.707187724840649,-11.47388812883455
3.6,-2.941836964774414,-8.622319479356019,-10.719390351774283,-11.535457658859562
3.7,-2.941688605733658,-8.623354867707759,-10.729859940251195,-11.58868307492075
3.8,-2.941556363003918,-8.624223197200573,-10.738880984197639,-11.634865780002553
3.9,-2.9414382188676815,-8.624954321908964,-10.746685441977093,-11.675080988670816
4.0,-2.9413324377811416,-8.625572242396892,-10.75346343390509,-11.71022040224541
4.1,-2.941237523407185,-8.626096352500408,-10.759371574450102,-11.741026351929175
4.2,-2.9411521826035485,-8.626542400207425,-10.764539500074534,-11.768119170559334
4.3,-2.9410752952013173,-8.626923232667792,-10.769075012432529,-11.79201919203545
4.4,-2.9410058886029824,-8.627249377164416,-10.773068152817778,-11.81316448482476
4.5,-2.9409431163935658,-8.627529496664971,-10.776594447016167,-11.831925192443169
4.6,-2.940886240296247,-8.627770748916648,-10.779717502654332,-11.848615169118174
4.7,-2.9408346149186504,-8.627979070939304,-10.782491098475814,-11.863501453502181
4.8,-2.9407876748311503,-8.628159405508317,-10.784960872890505,-11.87681200924177
4.9,-2.9407449235971517,-8.628315882293862,-10.787165694886486,-11.888742071779902
5.0,-2.940705924440277,-8.628451963381206,-10.789138781949742,-11.89945937063803
5.1,-2.940670292286815,-8.628570560676701,-10.79090861554157,-11.909108441369355
5.2,-2.940637686965991,-8.628674131020995,-10.79249969385341,-11.917814198078815
5.3,-2.940607807386956,-8.628764753547168,-10.79393315319709,-11.925684903283207
5.4,-2.940580386541453,-8.628844192837743,-10.795227282901061,-11.93281464492543
5.5,-2.9405551872059363,-8.628913950676315,-10.79639795352268,-11.939285408997556
5.6,-2.9405319982374634,-8.628975308603161,-10.79745897422803,-11.945168819255759
5.7,-2.940510631374722,-8.629029363027911,-10.79842239206888,-11.950527601984072
5.8,-2.940490918469674,-8.629077054295946,-10.799298743429366,-11.955416822949978
5.9,-2.940472709087017,-8.629119190825781,-10.800097265954971,-11.959884935022506
6.0,-2.940455868418562,-8.629156469214475,-10.800826077723473,-11.96397466794634
6.1,-2.9404402754676555,-8.629189491033875,-10.801492329169843,-11.96772378613454
6.2,-2.9404258214657477,-8.629218776902352,-10.802102332277387,-11.971165735783591
6.3,-2.9404124084888195,-8.629244778306438,-10.802661670741294,-11.974330198912554
6.4,-2.940399948246295,-8.629267887558495,-10.803175294160193,-11.977243568911906
6.5,-2.9403883610190116,-8.629288446205962,-10.803647598778818,-11.979929359723918
6.6,-2.9403775747263348,-8.629306752150736,-10.804082496878335,-11.982408558756854
6.7,-2.9403675241052616,-8.629323065690883,-10.804483476553287,-11.984699931975578
6.8,-2.940358149986919,-8.62933761465999,-10.804853653331525,-11.986820288243432
6.9,-2.9403493986578324,-8.629350598808715,-10.805195814849831,-11.98878470885919
7.0,-2.9403412212951614,-8.629362193548475,-10.805512459606899,-11.990606747296077
7.1,-2.9403335734665363,-8.629372553157017,-10.805805830651488,-11.992298603370719
7.2,-2.9403264146864405,-8.629381813528783,-10.806077944927631,-11.993871275421148
7.3,-2.940319708022169,-8.629390094539552,-10.806330618890328,-11.995334693530708
7.4,-2.9403134197432985,-8.62939750208328,-10.806565490909078,-11.996697836380742
7.5,-2.9403075190094357,-8.629404129830046,-10.806784040900231,-11.997968833933879
7.6,-2.940301977591661,-8.629410060745954,-10.806987607562297,-11.99915505782869
7.7,-2.9402967696237066,-8.629415368409541,-10.807177403535315,-12.000263201096315
7.8,-2.9402918713793933,-8.629420118154144,-10.807354528757095,-12.00129934858053
7.9,-2.940287261073278,-8.62942436806053,-10.807519982251804,-12.002269039249072
8.0,-2.940282918681902,-8.629428169821223,-10.80767467255179,-12.003177321419544
8.1,-2.940278825783277,-8.629431569493999,-10.807819426926114,-12.004028801782916
8.2,-2.940274965412579,-8.629434608159958,-10.807954999565942,-12.00482768898837
8.3,-2.9402713219322716,-8.629437322499076,-10.808082078855389,-12.005577832451195
8.4,-2.9402678809150617,-8.629439745294247,-10.808201293840375,-12.006282756957885
8.5,-2.94026462903831,-8.62944190587352,-10.808313219991515,-12.006945693567822
8.6,-2.940261553988665,-8.629443830498396,-10.80841838434651,-12.007569607246436
8.7,-2.9402586443758283,-8.62944554270547,-10.808517270104403,-12.008157221609162
8.8,-2.9402558896545066,-8.629447063607241,-10.808610320736788,-12.008711041107881
8.9,-2.9402532800536862,-8.629448412157387,-10.80869794366988,-12.00923337095001
9.0,-2.9402508065124904,-8.629449605385021,-10.808780513589062,-12.009726335004567
9.1,-2.940248460621924,-8.62945065860175,-10.80885837540595,-12.010191891918808
9.2,-2.9402462345719353,-8.629451585584915,-10.808931846927301,-12.01063184964168
9.3,-2.940244121103256,-8.629452398739996,-10.80900122125826,-12.011047878527174
9.4,-2.940242113463554,-8.629453109244668,-10.809066768968496,-12.011441523170161
9.5,-2.940240205367435,-8.629453727176724,-10.809128740047928,-12.011814213109348
9.6,-2.9402383909599816,-8.629454261627782,-10.80918736567286,-12.012167272516601
9.7,-2.9402366647834577,-8.629454720804556,-10.809242859805044,-12.012501928978148
9.8,-2.94023502174685,-8.629455112118961,-10.809295420638264,-12.012819321461185
9.9,-2.9402334570980426,-8.629455442268542,-10.809345231910484,-12.013120507548916
10.0,-2.940231966398306,-8.62945571730827,-10.809392464094937,-12.013406470018062
10.1,-2.9402305454989497,-8.629455942714625,-10.809437275481281,-12.013678122824354
10.2,-2.940229190519892,-8.62945612344296,-10.809479813159184,-12.013936316554743
10.3,-2.940227897830005,-8.629456263978836,-10.809520213913862,-12.014181843398537
