lam,d0_10,d0_50,d0_100,d0_190,d2_10,d2_50,d2_100,d2_190,eps_10,eps_50,eps_100,eps_190
2.0,102.61139999999338,68.52702869485316,50.554729749689685,29.068874750181184,-0.780810272642786,-7.9339561780859515,-15.761222572637584,-22.046954750923106,1.9297667960737497,4.485356406050691,6.064376092403143,7.422488141392147
2.1,102.61140000004188,68.7751713351193,51.479233881479786,31.287595059879564,-0.7757830559766685,-7.9053011884835955,-15.934655079202896,-24.018760898805503,1.9075647733825476,4.443205417720401,6.099241613558102,7.924184833003831
2.2,102.61139999990962,68.85298529295274,52.0323501498214,32.94812907658977,-0.7702275307223335,-7.8618290188110755,-16.004093961204845,-25.41791966207591,1.8806555355199874,4.386701359837957,6.096791343291288,8.285071303498855
2.3,102.61140000009487,68.7979081109159,52.278112613748306,34.08537707383634,-0.7643674225351158,-7.808655152964022,-15.999570704631202,-26.35444593415493,1.8505530270578574,4.319362661460926,6.0645176523348825,8.537061704020457
2.4,102.61139999994384,68.64183447526824,52.27500006564299,34.74797930604577,-0.7583748873997812,-7.749550311408635,-15.943494683583479,-26.934078959161006,1.8184639288887334,4.243995565289282,6.007909077114659,8.703417194774506
2.5,102.61140000007532,68.41179687759939,52.076040451465126,34.99348758332714,-0.7523808278845715,-7.687281772958536,-15.852482599158135,-27.24658316732186,1.7853425321981091,4.16286837922911,5.9311833048982,8.799733780164418
2.6,102.61139999995899,68.13049736923097,51.72875175550084,34.88488433311218,-0.746483248742384,-7.623865143741393,-15.738797559656215,-27.363758013876634,1.7519358831503629,4.0778331771393885,5.837780878160835,8.836187891028706
2.7,102.61139999997452,67.81676041188433,51.275019154631224,34.48770524339008,-0.7407540168927466,-7.560751440309727,-15.61144122794022,-27.341325951062057,1.7188211348616436,3.9904109926705043,5.730671937734491,8.819726030837492
2.8,102.61140000009567,67.48594719286334,50.751012158162084,33.867339210435,-0.7352443223116077,-7.4989671566378435,-15.476970998064427,-27.221839623618276,1.6864365588511727,3.901852426357898,5.612526578415121,8.755759424094881
2.9,102.61139999993226,67.15035102618273,50.1872193788468,33.08642251124023,-0.7299890817564193,-7.439219830467253,-15.340110213662783,-27.03745148876905,1.655107334252606,3.8131821641062236,5.485793176179233,8.649280942327675
3.0,102.61139999991092,66.81958001831808,49.608639885100665,32.20247881829071,-0.7250104831629594,-7.381978016996915,-15.204205907997732,-26.812204449300488,1.6250669988334812,3.7252331992988164,5.352721091619798,8.505458675345727
3.1,102.61139999998964,66.50092549552801,49.035132184091346,31.266042438367677,-0.7203208325024122,-7.327532076921615,-15.071574510575203,-26.56383591088093,1.5964752757993512,3.638674507376723,5.21535544611286,8.329818443740914
3.2,102.61139999994363,66.19971123769609,48.48189333511055,30.31945707147667,-0.7159248352182038,-7.276040451164849,-14.943764490087581,-26.30518997181023,1.56943286218992,3.554034456737878,5.075523059458621,8.128150795271278
3.3,102.61139999995359,65.9196179109405,47.96002488664098,29.39642088212328,-0.7118214200129176,-7.227564881336094,-14.821756506140888,-26.045336694768356,1.5439936661889941,3.4717212541963938,4.934821002257252,7.906275458309162
3.4,102.6113999999975,65.66297806835807,47.47713849955982,28.52221523106462,-0.7080051927189545,-7.18209717275011,-14.706115862448812,-25.79047080587911,1.520174902153901,3.3920411056555815,4.794613187524381,7.6697722696952555
3.5,102.61140000007856,65.43103880203,47.03795902885083,27.714457702327376,-0.7044675915320434,-7.139579471985442,-14.597108178583193,-25.544635320058617,1.4979653878055441,3.31521442013983,4.656036247923202,7.42375135774817
3.6,102.61139999996732,65.22419097123462,46.64489254914617,26.984179817278772,-0.7011978014554833,-7.099919568914817,-14.494786577441692,-25.310298556050164,1.477332335224346,3.2413902105756662,4.5200134869925765,7.172698189691946
3.7,102.61140000002148,65.04216556058267,46.29853793497506,26.337039949433674,-0.698183474814615,-7.063002384983764,-14.399056843762573,-25.08880541369823,1.4582268822538644,3.1706587769267847,4.387274586244993,6.920399656386766
3.8,102.61140000004566,64.88419896713857,45.99813082786991,25.774522889600973,-0.6954112957915977,-7.028698543712947,-14.309725641134948,-24.88072167982672,1.4405885736516433,3.103062748449486,4.258378555569,6.669939234382555
3.9,102.61140000005285,64.74916985693272,45.7419169617106,25.295028702098655,-0.6928674196406863,-6.996870714280492,-14.226535806437505,-24.686089801389038,1.424348968361883,3.0386065769268766,4.133737731199283,6.423741569671071
4.0,102.61140000002068,64.6357106900694,45.52745753171367,24.894800404109738,-0.690537811395178,-6.967378260432851,-14.149191880386539,-24.50461391826704,1.4094345224315508,2.977264595813248,4.013641159268046,6.183646439960212
4.1,102.61139999999223,64.54229718019548,45.35187280181412,24.568675581823918,-0.6884085040923029,-6.940080603772566,-14.077378332727662,-24.335790352760945,1.3957688731896338,2.918987778000967,3.898276260313371,5.950995550275443
4.2,102.61140000003138,64.46731889713972,45.21203188921754,24.31067006374158,-0.6864657926974259,-6.914839615135986,-14.010772373786038,-24.17899740410675,1.383274630429811,2.8637093359412766,3.7877481536664344,5.726720386596329
4.3,102.61139999999253,64.40913402095316,45.104697153741974,24.114414134434917,-0.6846963767908153,-6.891521274052113,-13.949052790877804,-24.03355564718795,1.3718747631753527,2.811349310396051,3.6820963915890124,5.511423842634295
4.4,102.61140000000945,64.3661109710032,45.026631300090315,23.97346650353266,-0.6830874625560551,-6.869996779445225,-13.891905891377052,-23.89876738213977,1.3614936561597195,2.7618182897414214,3.581309110084381,5.305451869970842
4.5,102.61140000000259,64.33665930809242,44.97467452513147,23.881531215036986,-0.6816268325862658,-6.850143251152943,-13.839029358078394,-23.773941664160123,1.3520578977831064,2.715020392946044,3.485334764517862,5.108953857288509
4.6,102.6113999999882,64.31925197987727,44.94579806439597,23.832600119850348,-0.6803028903599669,-6.831844128309349,-13.790134611536528,-23.6584095509752,1.343496850898671,2.670855636552145,3.394091704483611,4.921931965473294
4.7,102.61140000000073,64.31244066208717,44.937139469801515,23.821039931057502,-0.6791046849214982,-6.814989345133925,-13.744948115303856,-23.551532832168363,1.3357430490614863,2.6292217926362498,3.307475877434752,4.744280469013101
4.8,102.6113999999989,64.31486566003869,44.94602398526046,23.841639139555564,-0.6780219202154464,-6.799475345117088,-13.703211941475354,-23.452708492663096,1.3287324533939553,2.590015830405029,3.225366951490107,4.5758165064780965
4.9,102.61139999999604,64.32526157827382,44.969975527130906,23.889626650610648,-0.6770449526525208,-6.785204979717524,-13.664683826422374,-23.361370439139257,1.3224045991465316,2.553135020510058,3.1476331285092165,4.4163037067232604
5.0,102.6114000000038,64.34245974324365,45.006720037538095,23.96067110409225,-0.6761647797808558,-6.772087326368341,-13.629136882379353,-23.276989512683258,1.3167026554409185,2.518477768686086,3.074134889623778,4.265470062422305
5.1,102.61139999999652,64.36538817513241,45.054183367128246,24.050867499901123,-0.6753730223609025,-6.760037451947169,-13.596359083608537,-23.199072464086186,1.311573418557226,2.485944234030117,3.0047278820718835,4.123021253361151
5.2,102.61140000000752,64.3930697459207,45.110485343473925,24.156715920994337,-0.6746619016794496,-6.7489761413032685,-13.566152611798488,-23.127160333567094,1.3069672531883416,2.455436777479233,2.9392651234841654,3.988650430214972
5.3,102.61139999995744,64.42461902931183,45.1739312841334,24.275095753903205,-0.6740242135620252,-6.738829605435099,-13.538333120624593,-23.060826519780747,1.3028379960303422,2.426860277373315,2.877598669322866,3.862045283743954
5.4,102.61140000000738,64.45923824024021,45.243001893220736,24.403237767798807,-0.6734533002396965,-6.729529180110816,-13.512728961558874,-22.999674719041238,1.2991428319751404,2.400122342312102,2.8195808596293577,3.7428930580299147
5.5,102.61140000000395,64.4962125743038,45.31634224944941,24.53869565153966,-0.6729430209741867,-6.721011022811554,-13.489180400091008,-22.94333684739401,1.2958421483497262,2.3751334451747748,2.765065247323223,3.6308840252736423
5.6,102.61140000000057,64.53490518608848,45.392750378679246,24.679318057432635,-0.6724877221563473,-6.713215813712967,-13.467538842309937,-22.89147101372961,1.292899379985774,2.351806996970634,2.7139072727850304,3.5257138227284326
5.7,102.61140000000432,64.5747519896281,45.471165791595354,24.8232218096057,-0.6720822074181455,-6.70608846470227,-13.447666085045787,-22.84375958330144,1.2902808437841207,2.3300593762835247,2.665964755349171,3.4270849591587753
5.8,102.61139999999521,64.61525641832296,45.550658229821664,24.96876666006346,-0.6717217081798255,-6.699577839202461,-13.429433598075363,-22.79990735264629,1.2879555708929773,2.3098099255686853,2.621098241199605,3.3347077236726506
5.9,102.61140000000064,64.65598424661181,45.63041679895927,25.114531787080747,-0.6714018549418087,-6.693636484592229,-13.412721843440682,-22.759639845204287,1.2858951388706656,2.2909809234200504,2.579171247419422,3.2483006722148633
6.0,102.6114000000091,64.69655854719457,45.70973959830563,25.2592941031331,-0.6711186495513953,-6.688220378309347,-13.39741963453562,-22.72270172969726,1.2840735056937123,2.273497540127403,2.540050428014013,3.167590822233363
6.1,102.611399999999,64.73665483621737,45.78802391511774,25.402008356675847,-0.6708684386036643,-6.683288688172741,-13.38342353591282,-22.68885535888132,1.28246684810446,2.257287781623775,2.5036056840052305,3.092313651781033
