lam,d0_10,d0_50,d0_100,d0_190
2.0,-1.682146841010028,-12.381874881947201,-21.2637167829251,-27.513666585264897
2.1,-1.5059640247983375,-12.013569982579023,-20.97816352105913,-28.99599242337128
2.2,-1.3315830737134549,-11.642715146449634,-20.607888775091105,-29.844457616320256
2.3,-1.1593783985809727,-11.273473574980624,-20.184687151876076,-30.231079135348264
2.4,-0.9896399996659102,-10.908575174483934,-19.730091691084898,-30.29035251206032
2.5,-0.8225889489451164,-10.549792616773326,-19.258708498039464,-30.121727474839876
2.6,-0.6583899377934541,-10.198252306894524,-18.780450556987926,-29.796825201403752
2.7,-0.4971615226102003,-9.854640367647445,-18.302032835105724,-29.36661240523608
2.8,-0.3389845323440936,-9.519340899806608,-17.82797710852337,-28.867184694398674
2.9,-0.18390899062144397,-9.192529931535274,-17.36129177338469,-28.324067879789087
3.0,-0.03195982767506196,-8.874239977696908,-16.90393534212075,-27.755305385212598
3.1,0.11685839924001243,-8.564404850591693,-16.457135009682112,-27.17364079543125
3.2,0.26255760096829284,-8.26289103712337,-16.021607338444845,-26.58805300381963
3.3,0.4051629242796175,-7.969519832750274,-15.59771227008403,-26.00483643630171
3.4,0.5447100757720119,-7.684083047495685,-15.18556132904303,-25.42836369255401
3.5,0.6812431062237733,-7.406354197876666,-14.785094086802703,-24.861626574453528
3.6,0.814812576737309,-7.136096500400886,-14.396132457788722,-24.306622009921394
3.7,0.9454740418265078,-6.873068580584256,-14.018419394781668,-23.764628894300145
3.8,1.0732867958790016,-6.617028538669919,-13.651646529446941,-23.2364077694502
3.9,1.1983128386693591,-6.3677368260213205,-13.295473929798089,-22.722345579288355
4.0,1.3206160231974744,-6.124958256365133,-12.949544204964774,-22.22256108370128
4.1,1.440261355379531,-5.888463385210158,-12.613492537128376,-21.736981917562634
4.2,1.5573144202760465,-5.658029426598753,-12.286953767271228,-21.265401092446382
4.3,1.6718409138019998,-5.433440830631707,-11.969567343266625,-20.807518511689143
4.4,1.7839062623863506,-5.2144896123812625,-11.66098071383912,-20.362971504235357
4.5,1.8935753159659738,-5.000975499055842,-11.360851591733196,-19.931357275215326
4.6,2.00091210211908,-4.792705944972678,-11.068849394601687,-19.512249382380332
4.7,2.1059796311520014,-4.589496051203235,-10.784656089345527,-19.10520978200342
4.8,2.2088397436238383,-4.3911684173911745,-10.507966605595747,-18.70979757986857
4.9,2.3095529931839653,-4.197552946294607,-10.238488940278627,-18.32557532685065
5.0,2.408178558756785,-4.00848661642301,-9.975944043159874,-17.95211348241805
5.1,2.5047741810749558,-3.8238132342593025,-9.720065549682948,-17.588993510721412
5.2,2.5993961193708053,-3.6433831746385557,-9.470599410040824,-17.235809956868547
5.3,2.692099124711575,-3.4670531156532562,-9.227303450509817,-16.892171764198903
