lam,c0
2.0,50.9907019627
2.1,51.6157034642
2.2,52.3926000117
2.3,53.3738198703
2.4,54.6213633685
2.5,56.2128717903
2.6,58.2506011618
2.7,60.8755652501
2.8,64.2911680095
2.9,68.8051479888
3.0,74.9092978726
3.1,83.4441281833
3.2,95.9773914911
3.3,115.8106650576
3.4,151.2953822349
3.5,231.4692840802
3.6,574.2785348006
3.7,-865.8686046745
3.8,-227.3294723664
3.9,-124.6232560286
4.0,-82.8652499349
4.1,-60.3473432815
4.2,-46.3420374391
4.3,-36.8425253777
4.4,-30.0125428827
4.5,-24.8920813629
4.6,-20.930547518
4.7,-17.7896377709
4.8,-15.2500979652
4.9,-13.1636530974
5.0,-11.4264848165
5.1,-9.9637715107
5.2,-8.7202576563
5.3,-7.6542767826
5.4,-6.7338374261
5.5,-5.9339867229
5.6,-5.2349902389
5.7,-4.6210477572
5.8,-4.07936967
5.9,-3.599500957
6.0,-3.1728191564
6.1,-2.7921556785
6.2,-2.4515069685
6.3,-2.145811547
6.4,-1.8707759448
6.5,-1.6227376009
6.6,-1.3985558703
6.7,-1.1955247195
6.8,-1.0113020529
6.9,-0.8438523748
7.0,-0.691399766
7.1,-0.5523891508
7.2,-0.4254542039
7.3,-0.3093905144
7.4,-0.203133376
7.5,-0.1057386847
7.6,-0.0163672141
7.7,0.0657290539
7.8,0.1412184194
7.9,0.2106993196
8.0,0.2747088317
8.1,0.3337299655
8.2,0.3881979822
8.3,0.4385058716
8.4,0.4850091171
8.5,0.5280298532
8.6,0.567860501
8.7,0.604766958
8.8,0.6389914024
8.9,0.670754765
9.0,0.700258913
9.1,0.7276885846
9.2,0.7532131048
9.3,0.7769879145
9.4,0.7991559292
9.5,0.8198487566
9.6,0.8391877855
9.7,0.8572851628
9.8,0.8742446717
9.9,0.8901625237
10.0,0.9051280737
10.1,0.919224468
10.2,0.9325292466
10.3,0.94511479
10.4,0.9570490259
10.5,0.9683956031
10.6,0.9792144814
10.7,0.9895622609
10.8,0.9994925352
10.9,1.0090562197
11.0,1.0183018766
11.1,1.027275918
11.2,1.0360230396
11.3,1.0445863434
11.4,1.0530076428
11.5,1.0613277049
11.6,1.0695864961
11.7,1.0778233918
11.8,1.0860774715
11.9,1.0943877076
12.0,1.1027932394
12.1,1.111333627
12.2,1.1200491219
12.3,1.1289809545
12.4,1.1381716422
12.5,1.1476653221
12.6,1.1575081201
12.7,1.1677485337
12.8,1.1784379662
12.9,1.1896310803
13.0,1.2013864701
13.1,1.2137673544
13.2,1.2268422109
13.3,1.2406857253
13.4,1.2553797303
13.5,1.2710144282
13.6,1.287689742
13.7,1.3055169644
13.8,1.3246206248
13.9,1.3451409605
14.0,1.3672365741
14.1,1.3910879233
14.2,1.4169014273
14.3,1.4449146339
14.4,1.4754025551
14.5,1.5086856765
14.6,1.5451398778
14.7,1.5852094885
14.8,1.6294236284
14.9,1.6784178565
15.0,1.7329626115
15.1,1.7940012909
