lam,c0
2.0,-45.5065927067
2.1,-42.1583498666
2.2,-39.0049106609
2.3,-36.000072807
2.4,-33.1060815937
2.5,-30.2910766437
2.6,-27.5272515123
2.7,-24.7894702107
2.8,-22.0541736499
2.9,-19.2984612572
3.0,-16.4992632442
3.1,-13.6325350578
3.2,-10.672411449
3.3,-7.5902549585
3.4,-4.3535222484
3.5,-0.9243495895
3.6,2.7422784293
3.7,6.70097327
3.8,11.0192939075
3.9,15.7824598931
4.0,21.1001504815
4.1,27.1165821402
4.2,34.0258970102
4.3,42.0964679398
4.4,51.7108171207
4.5,63.4342784735
4.6,78.1398696141
4.7,97.2515681628
4.8,123.2615938614
4.9,160.9649988406
5.0,220.9209002936
5.1,331.8392028614
5.2,608.9843409426
5.3,2578.6742223003
5.4,-1301.0539987969
5.5,-542.7244956813
5.6,-351.3020418161
5.7,-263.79211684
5.8,-213.4926160548
5.9,-180.7301889066
6.0,-157.6235173668
6.1,-140.3994782584
6.2,-127.0248428064
6.3,-116.306953187
6.4,-107.4999551235
6.5,-100.113424193
6.6,-93.8115949029
6.7,-88.3568086537
6.8,-83.5760856352
6.9,-79.3404930601
7.0,-75.5519374188
7.1,-72.1344402766
7.2,-69.0282168885
7.3,-66.1855603596
7.4,-63.5679199936
7.5,-61.1437881313
7.6,-58.8871458683
7.7,-56.7763023882
7.8,-54.7930162315
7.9,-52.9218216174
8.0,-51.1495059904
8.1,-49.464700525
8.2,-47.8575559916
8.3,-46.3194838272
8.4,-44.8429475055
8.5,-43.4212930648
8.6,-42.0486103735
8.7,-40.7196187126
8.8,-39.4295717277
8.9,-38.174177912
9.0,-36.9495336092
9.1,-35.7520661624
9.2,-34.5784853174
9.3,-33.4257413634
9.4,-32.290988784
9.5,-31.1715544182
9.6,-30.0649093081
9.7,-28.9686435469
9.8,-27.880443554
9.9,-26.7980712855
10.0,-25.7193449562
10.1,-24.6421209016
10.2,-23.5642762436
10.3,-22.4836920525
10.4,-21.3982367157
10.5,-20.3057492299
10.6,-19.2040221369
10.7,-18.0907838126
10.8,-16.9636798045
10.9,-15.820252887
11.0,-14.6579214674
11.1,-13.4739559301
11.2,-12.2654524433
11.3,-11.0293036757
11.4,-9.7621657735
11.5,-8.4604208211
11.6,-7.1201338563
11.7,-5.7370033128
11.8,-4.3063035156
11.9,-2.8228175385
12.0,-1.2807583349
12.1,0.3263244666
12.2,2.0056553719
12.3,3.7653655718
12.4,5.6146525046
12.5,7.5639731945
12.6,9.6252801278
12.7,11.8123111124
12.8,14.1409482096
12.9,16.6296658428
13.0,19.3000951466
13.1,22.1777414256
13.2,25.2929055784
13.3,28.6818805982
13.4,32.3885240708
13.5,36.4663522365
13.6,40.9813693479
13.7,46.0159523697
13.8,51.6742808127
13.9,58.0900797222
14.0,65.4379134644
14.1,73.9500873683
14.2,83.942699098
14.3,95.8571917576
14.4,110.3293552668
14.5,128.3095461722
14.6,151.2847430325
14.7,181.7196214397
14.8,224.0182599269
14.9,286.8990252799
15.0,390.3911192789
15.1,592.9828789663
15.2,1169.1542811846
15.3,15596.2550738491
15.4,-1447.3487198786
15.5,-707.6803981084
15.6,-475.0054824103
15.7,-361.0071650565
15.8,-293.276050039
15.9,-248.3540714436
16.0,-216.3488896703
16.1,-192.3662553011
16.2,-173.7073976494
16.3,-158.7620809022
16.4,-146.510047051
16.5,-136.2734768233
16.6,-127.5844349068
16.7,-120.1094637852
16.8,-113.6045081603
16.9,-107.8868310032
17.0,-102.8168902878
17.1,-98.2862848319
17.2,-94.2095234288
17.3,-90.5182735313
17.4,-87.1572596857
17.5,-84.0812848028
17.6,-81.2530312949
17.7,-78.6414138252
17.8,-76.2203287037
17.9,-73.9676927986
18.0,-71.8646966697
18.1,-69.8952182105
18.2,-68.0453579433
18.3,-66.3030675029
18.4,-64.6578502097
18.5,-63.1005179208
18.6,-61.6229921925
18.7,-60.2181406066
18.8,-58.8796412133
18.9,-57.6018696086
19.0,-56.3798043552
19.1,-55.20894736
19.2,-54.0852565175
19.3,-53.0050884683
19.4,-51.9651497409
19.5,-50.9624548777
19.6,-49.9942904048
19.7,-49.0581837138
19.8,-48.1518760905
19.9,-47.2732992568
20.0,-46.4205549018
20.1,-45.5918967649
20.2,-44.7857149048
20.3,-44.000521848
20.4,-43.234940357
20.5,-42.4876926001
20.6,-41.7575905357
20.7,-41.0435273538
20.8,-40.3444698386
20.9,-39.659451536
21.0,-38.9875666272
21.1,-38.3279644204
21.2,-37.6798443885
21.3,-37.0424516859
21.4,-36.4150730901
21.5,-35.7970333176
21.6,-35.1876916726
21.7,-34.5864389899
21.8,-33.9926948388
21.9,-33.4059049607
22.0,-32.8255389118
22.1,-32.2510878906
22.2,-31.6820627286
22.3,-31.1179920263
22.4,-30.5584204181
22.5,-30.0029069526
22.6,-29.4510235731
22.7,-28.902353689
22.8,-28.356490825
22.9,-27.8130373394
23.0,-27.2716032024
23.1,-26.7318048259
23.2,-26.1932639361
23.3,-25.6556064837
23.4,-25.1184615821
23.5,-24.5814604694
23.6,-24.0442354866
23.7,-23.5064190662
23.8,-22.9676427249
23.9,-22.4275360555
24.0,-21.8857257105
24.1,-21.3418343731
24.2,-20.7954797087
24.3,-20.24627329
24.4,-19.6938194906
24.5,-19.1377143399
24.6,-18.577544331
24.7,-18.0128851762
24.8,-17.4433004994
24.9,-16.8683404587
25.0,-16.2875402888
25.1,-15.7004187531
25.2,-15.1064764933
25.3,-14.5051942661
25.4,-13.8960310505
25.5,-13.2784220132
25.6,-12.6517763133
25.7,-12.0154747282
25.8,-11.36886708
25.9,-10.7112694376
26.0,-10.0419610699
26.1,-9.3601811179
26.2,-8.6651249543
26.3,-7.9559401903
26.4,-7.231722288
26.5,-6.4915097273
26.6,-5.7342786731
26.7,-4.9589370756
26.8,-4.164318133
26.9,-3.3491730292
27.0,-2.5121628497
27.1,-1.6518495629
27.2,-0.7666859351
27.3,0.1449957724
27.4,1.0849965021
27.5,2.0552647021
27.6,3.0579124748
27.7,4.0952338578
27.8,5.1697255766
27.9,6.2841106683
28.0,7.4413654539
28.1,8.6447504281
28.2,9.8978457476
28.3,11.2045921412
28.4,12.5693382324
28.5,13.9968954831
28.6,15.4926022295
28.7,17.0623986189
28.8,18.7129146763
28.9,20.4515742682
29.0,22.2867184157
29.1,24.2277522972
29.2,26.2853214251
29.3,28.4715239856
29.4,30.8001683109
29.5,33.2870870876
29.6,35.9505234447
29.7,38.8116088708
29.8,41.894959491
29.9,45.2294263811
30.0,48.8490484307
30.1,52.7942745576
30.2,57.1135484946
30.3,61.8653881634
30.4,67.121149597
30.5,72.9687535959
30.6,79.5177904642
30.7,86.9066364131
30.8,95.3125715283
30.9,104.9664879931
31.0,116.1748168552
31.1,129.3531747421
31.2,145.0797536828
31.3,164.1834346874
31.4,187.8961759549
31.5,218.1319456771
31.6,258.0344905529
31.7,313.1540784609
31.8,394.2952159898
31.9,525.6618678166
32.0,774.9638439933
32.1,1430.9407528939
32.2,7907.4756930273
32.3,-2336.8468612727
32.4,-1035.8271889242
32.5,-672.4976384209
32.6,-501.6049534015
32.7,-402.2377365278
32.8,-337.2378315243
32.9,-291.3866070077
33.0,-257.2952996436
33.1,-230.9433722924
33.2,-209.9555743098
33.3,-192.8384427135
33.4,-178.6058589514
33.5,-166.5804742553
33.6,-156.2816306934
33.7,-147.3587975988
33.8,-139.550325925
33.9,-132.6569554512
34.0,-126.5242648791
34.1,-121.0307305256
34.2,-116.0794082316
34.3,-111.5920176493
34.4,-107.5046566013
34.5,-103.7646444969
34.6,-100.328162373
34.7,-97.1584644776
34.8,-94.2245061738
